Edad,Ano ,Origen,lx
47,2020,UE 28,41119
48,2020,UE 28,40672
49,2020,UE 28,40853
50,2020,UE 28,41371
51,2020,UE 28,41552
52,2020,UE 28,42489
53,2020,UE 28,42745
54,2020,UE 28,36508
55,2020,UE 28,37065
56,2020,UE 28,34410
57,2020,UE 28,31503
58,2020,UE 28,27506
59,2020,UE 28,24738
60,2020,UE 28,24638
61,2020,UE 28,23086
62,2020,UE 28,21189
63,2020,UE 28,19711
64,2020,UE 28,18261
65,2020,UE 28,19654
66,2020,UE 28,18454
67,2020,UE 28,17445
68,2020,UE 28,16716
69,2020,UE 28,15694
70,2020,UE 28,17814
71,2020,UE 28,16603
72,2020,UE 28,15855
73,2020,UE 28,14767
74,2020,UE 28,14019
75,2020,UE 28,11348
76,2020,UE 28,11536
77,2020,UE 28,11134
78,2020,UE 28,9986
79,2020,UE 28,9621
80,2020,UE 28,7809
81,2020,UE 28,7604
82,2020,UE 28,5830
83,2020,UE 28,5010
84,2020,UE 28,4232
85,2020,UE 28,3271
86,2020,UE 28,2843
87,2020,UE 28,2519
88,2020,UE 28,2299
89,2020,UE 28,2179
90,2020,UE 28,6590
0,2021,UE 28,570
1,2021,UE 28,2288
2,2021,UE 28,3980
3,2021,UE 28,5022
4,2021,UE 28,6082
5,2021,UE 28,6252
6,2021,UE 28,6705
7,2021,UE 28,6414
8,2021,UE 28,6418
9,2021,UE 28,6221
10,2021,UE 28,6192
11,2021,UE 28,6777
12,2021,UE 28,6686
13,2021,UE 28,6910
14,2021,UE 28,8220
15,2021,UE 28,8666
16,2021,UE 28,9546
17,2021,UE 28,10604
18,2021,UE 28,11607
19,2021,UE 28,13802
20,2021,UE 28,15763
21,2021,UE 28,17512
22,2021,UE 28,18281
23,2021,UE 28,19111
24,2021,UE 28,19600
